time(s),acceleration(m/s2)
0.047344,-2.291162
0.047383,4.466462
0.047422,1.542516
0.047461,-2.619315
0.0475,0.630638
0.047539,-0.497188
0.047578,-1.741953
0.047617,-0.18453
0.047656,-2.174645
0.047695,-0.967087
0.047734,-2.188412
0.047773,-1.086402
0.047812,1.054237
0.047852,-0.87011
0.047891,-0.204113
0.04793,2.036036
0.047969,-4.714036
0.048008,-1.119238
0.048047,0.766036
0.048086,-4.122796
0.048125,1.625841
0.048164,-3.788579
0.048203,1.410244
0.048242,-2.951615
0.048281,-0.10149
0.04832,3.029921
0.048359,0.079234
0.048398,-2.241543
0.048437,0.913876
0.048477,-0.866338
0.048516,-1.02913
0.048555,2.045111
0.048594,-2.886096
0.048633,2.874264
0.048672,0.326106
0.048711,-0.192783
0.04875,2.454279
0.048789,1.45895
0.048828,0.57669
0.048867,-0.045106
0.048906,-1.542608
0.048945,-0.064223
0.048984,-0.089978
0.049023,2.656152
0.049062,-0.064803
0.049102,-3.007806
0.049141,1.958322
0.04918,-1.611029
0.049219,0.677729
0.049258,0.506504
0.049297,-1.527015
0.049336,0.217564
0.049375,1.71983
0.049414,-4.585754
0.049453,1.931757
0.049492,8.946428
0.049531,-10.502672
0.04957,6.333592
0.049609,0.161543
0.049648,-3.673725
0.049687,2.07181
0.049727,-0.570216
0.049766,3.216939
0.049805,-1.475746
0.049844,-0.498862
0.049883,-0.264596
0.049922,2.034005
0.049961,-5.183415
0.05,2.077826
0.050039,-1.937537
0.050078,-1.99851
0.050117,-9.407507
0.050156,12.969663
0.050195,-7.226541
0.050234,-7.133912
0.050273,11.600449
0.050312,-4.363852
0.050352,8.282014
0.050391,-5.180036
0.05043,5.635599
0.050469,-7.547765
0.050508,5.913408
0.050547,2.367624
0.050586,-4.8175
0.050625,9.448364
0.050664,-6.140184
0.050703,6.645669
0.050742,1.878281
0.050781,-3.274642
0.05082,1.30886
0.050859,-4.221918
0.050898,2.476141
0.050937,-2.664441
0.050977,-0.021218
0.051016,0.738974
0.051055,-2.026031
0.051094,3.264574
0.051133,-3.575171
0.051172,3.188632
0.051211,-0.650028
0.05125,-3.195241
0.051289,3.753065
0.051328,-1.461901
0.051367,1.050785
0.051406,-6.545308
0.051445,0.452798
0.051484,3.825603
0.051523,7.592661
0.051562,-6.951259
0.051602,-7.427416
0.051641,0.461159
0.05168,1.699649
0.051719,-3.12873
0.051758,-1.581096
0.051797,0.166319
0.051836,-6.788788
0.051875,1.362959
0.051914,0.476975
