time(s),acceleration(m/s2),,
0.026133,0.774186,,
0.026172,-1.130501,,
0.026211,1.131032,,
0.02625,0.420888,,
0.026289,0.801948,,
0.026328,1.432275,,
0.026367,0.765703,,
0.026406,0.048805,,
0.026445,0.432738,,
0.026484,-0.721539,,
0.026523,2.049501,,
0.026562,0.649199,,
0.026602,-0.912807,,
0.026641,0.396686,,
0.02668,0.917026,,
0.026719,-0.462938,,
0.026758,0.059083,,
0.026797,0.292987,,
0.026836,-1.043827,,
0.026875,-0.187335,,
0.026914,-1.494011,,
0.026953,-1.259218,,
0.026992,-0.415296,,
0.027031,-0.275098,,
0.02707,0.294039,,
0.027109,0.09921,,
0.027148,0.101247,,
0.027187,-0.020378,,
0.027227,-0.375774,,
0.027266,0.322708,,
0.027305,-0.300025,,
0.027344,0.666702,,
0.027383,-0.015209,,
0.027422,-0.97783,,
0.027461,-0.428682,,
0.0275,0.514424,,
0.027539,-0.339801,,
0.027578,-0.067971,,
0.027617,2.640632,,
0.027656,-0.995557,,
0.027695,-1.628755,,
0.027734,-0.541806,,
0.027773,-0.369492,,
0.027812,-1.109341,,
0.027852,0.351275,,
0.027891,1.086468,,
0.02793,-0.728201,,
0.027969,-0.47723,,
0.028008,-0.784077,,
0.028047,-0.457605,,
0.028086,0.985647,,
0.028125,0.597531,,
0.028164,0.501419,,
0.028203,0.598268,,
0.028242,-0.176217,,
0.028281,-0.438911,,
0.02832,1.054262,,
0.028359,0.867226,,
0.028398,1.323999,,
0.028437,-1.215736,,
0.028477,-0.460423,,
0.028516,0.738152,,
0.028555,-0.910558,,
0.028594,-0.672222,,
0.028633,-0.07016,,
0.028672,0.867867,,
0.028711,0.284341,,
0.02875,-2.323326,,
0.028789,-1.616912,,
0.028828,-0.80892,,
0.028867,-0.485041,,
0.028906,-0.299547,,
0.028945,0.043086,,
0.028984,-1.588671,,
0.029023,0.320151,,
0.029062,0.340447,,
0.029102,-0.837324,,
0.029141,-0.953816,,
0.02918,1.973733,,
0.029219,0.418354,,
0.029258,-0.709114,,
0.029297,-1.135036,,
0.029336,1.267216,,
0.029375,-1.391043,,
0.029414,-0.865969,,
0.029453,0.204015,,
0.029492,2.118835,,
0.029531,0.430362,,
0.02957,-1.067648,,
0.029609,-1.346328,,
0.029648,-0.772046,,
0.029687,0.779053,,
0.029727,0.571805,,
0.029766,0.273223,,
0.029805,-0.539509,,
0.029844,-0.598118,,
0.029883,0.040552,,
0.029922,-0.189409,,
0.029961,0.463457,,
0.03,-0.240908,,
0.030039,0.291457,,
0.030078,-1.336461,,
0.030117,-0.080698,,
0.030156,-0.134253,,
0.030195,-0.19005,,
0.030234,0.472538,,
0.030273,-0.996452,,
0.030312,0.103339,,
0.030352,0.347333,,
0.030391,0.032106,,
0.03043,-0.612979,,
0.030469,-1.47441,,
0.030508,-0.300702,,
0.030547,-0.435852,,
0.030586,-0.684133,,
0.030625,1.168305,,
0.030664,-0.389849,,
0.030703,0.012917,,
0.030742,0.223519,,
0.030781,1.231963,,
0.03082,-0.057887,,
0.030859,1.029794,,
0.030898,-1.584113,,
0.030937,-0.699435,,
0.030977,-0.417267,,
0.031016,0.628504,,
0.031055,1.069757,,
0.031094,0.475119,,
0.031133,-0.37523,,
0.031172,-0.792832,,
0.031211,-0.270993,,
0.03125,0.098817,,
0.031289,0.709186,,
0.031328,-1.415009,,
0.031367,-1.250434,,
0.031406,-1.793996,,
0.031445,1.89391,,
0.031484,-0.009411,,
0.031523,-1.66075,,
0.031562,1.353147,,
0.031602,1.081287,,
0.031641,-0.909252,,
0.03168,1.734153,,
0.031719,-0.806018,,
0.031758,-2.006515,,
0.031797,0.007088,,
0.031836,-0.04545,,
0.031875,-0.150044,,
0.031914,-0.581794,,
0.031953,-1.953759,,
0.031992,1.356236,,
0.032031,1.192011,,
0.03207,-0.366475,,
0.032109,-0.546861,,
0.032148,-1.288039,,
0.032187,-0.809144,,
0.032227,0.273277,,
0.032266,-0.088201,,
0.032305,-0.034205,,
0.032344,-0.46058,,
0.032383,0.742227,,
0.032422,0.000607,,
0.032461,-0.167547,,
0.0325,2.220805,,
0.032539,0.121979,,
0.032578,-0.729296,,
0.032617,0.697457,,
0.032656,-0.956053,,
0.032695,-1.20128,,
0.032734,0.769186,,
0.032773,2.572906,,
0.032812,-0.688008,,
0.032852,-0.505779,,
0.032891,-0.987135,,
0.03293,0.228918,,
0.032969,1.497813,,
0.033008,0.015734,,
0.033047,-1.690974,,
0.033086,-0.391372,,
0.033125,-0.760275,,
0.033164,-1.318244,,
0.033203,-0.291041,,
0.033242,-0.432599,,
0.033281,-0.658855,,
0.03332,0.150322,,
0.033359,-1.152895,,
0.033398,-1.078355,,
0.033437,0.690607,,
0.033477,-0.730789,,
0.033516,-0.766859,,
0.033555,-0.555615,,
0.033594,0.275562,,
0.033633,-1.591102,,
0.033672,-0.048304,,
0.033711,1.534971,,
0.03375,-0.637483,,
0.033789,0.502894,,
0.033828,-0.505724,,
0.033867,-0.392636,,
0.033906,1.29559,,
0.033945,0.243217,,
0.033984,0.483154,,
0.034023,-0.355768,,
0.034062,-1.296794,,
0.034102,0.34353,,
0.034141,-0.662706,,
0.03418,0.359147,,
0.034219,0.483771,,
0.034258,-1.468956,,
0.034297,-0.893163,,
0.034336,-0.758243,,
0.034375,-0.332558,,
0.034414,0.202377,,
0.034453,-1.222211,,
0.034492,-0.562562,,
0.034531,-1.362494,,
0.03457,0.075897,,
0.034609,0.090558,,
0.034648,-1.203106,,
0.034687,-0.014048,,
0.034727,-0.536782,,
0.034766,-1.192369,,
0.034805,-0.061581,,
0.034844,-0.050535,,
0.034883,-0.138527,,
0.034922,-0.440822,,
0.034961,-0.176012,,
0.035,-0.950231,,
0.035039,-0.830655,,
0.035078,0.180847,,
0.035117,0.359177,,
0.035156,-1.234104,,
0.035195,-0.233556,,
0.035234,-1.029698,,
0.035273,-0.716128,,
0.035312,-0.321724,,
0.035352,-0.200479,,
0.035391,-0.391741,,
0.03543,-0.292873,,
0.035469,-0.761018,,
0.035508,-0.342461,,
0.035547,-0.079211,,
0.035586,-0.726134,,
0.035625,-0.801399,,
0.035664,0.199439,,
0.035703,-0.463373,,
0.035742,0.189475,,
0.035781,1.229816,,
0.03582,-1.029353,,
0.035859,-0.808938,,
0.035898,1.254913,,
0.035937,1.51988,,
0.035977,-0.109857,,
0.036016,1.153015,,
0.036055,0.089059,,
0.036094,2.236706,,
0.036133,2.142553,,
0.036172,-0.583819,,
0.036211,0.611781,,
0.03625,0.582295,,
0.036289,-0.471021,,
0.036328,1.06668,,
0.036367,0.06531,,
0.036406,-0.782312,,
0.036445,1.394053,,
0.036484,0.534629,,
0.036523,-1.113754,,
0.036562,1.347149,,
0.036602,-0.405157,,
0.036641,-0.462091,,
0.03668,-0.599115,,
0.036719,-1.245706,,
0.036758,-1.346182,,
0.036797,-0.469117,,
0.036836,-0.424038,,
0.036875,-0.709628,,
0.036914,-0.046037,,
0.036953,-0.147959,,
0.036992,-0.177033,,
0.037031,0.26555,,
0.03707,-1.128367,,
0.037109,-0.085613,,
0.037148,-0.603239,,
0.037187,-0.647047,,
0.037227,0.452895,,
0.037266,0.371076,,
0.037305,1.238704,,
0.037344,2.514841,,
0.037383,1.481489,,
0.037422,0.014634,,
0.037461,-0.845443,,
0.0375,0.477689,,
0.037539,0.995635,,
0.037578,-0.64871,,
0.037617,0.437127,,
0.037656,1.923909,,
0.037695,-1.745871,,
0.037734,-0.444915,,
0.037773,0.395096,,
0.037812,0.36194,,
0.037852,0.534847,,
0.037891,-0.394045,,
0.03793,-1.71364,,
0.037969,-0.879397,,
0.038008,-1.854842,,
0.038047,-1.523889,,
0.038086,-0.931464,,
0.038125,0.212262,,
0.038164,-0.929862,,
0.038203,0.761882,,
0.038242,-0.409601,,
0.038281,0.92254,,
0.03832,0.621503,,
0.038359,-1.431949,,
0.038398,-1.476091,,
0.038437,-0.133878,,
0.038477,0.950562,,
0.038516,1.744104,,
0.038555,0.4544,,
0.038594,-1.696083,,
0.038633,1.426241,,
0.038672,1.129908,,
0.038711,0.67889,,
0.03875,0.749573,,
0.038789,-1.499857,,
0.038828,-1.064329,,
0.038867,1.088971,,
0.038906,-0.64897,,
0.038945,0.501225,,
0.038984,0.174487,,
0.039023,-0.860479,,
0.039062,-0.023975,,
0.039102,0.299776,,
0.039141,0.22312,,
0.03918,-0.082469,,
0.039219,-0.348066,,
0.039258,0.217056,,
0.039297,0.656079,,
0.039336,-0.449673,,
0.039375,0.339032,,
0.039414,0.093641,,
0.039453,1.184859,,
0.039492,0.201252,,
0.039531,0.90014,,
0.03957,0.475301,,
0.039609,-1.011953,,
0.039648,-1.086953,,
0.039687,-0.96881,,
0.039727,0.168925,,
0.039766,-0.427001,,
0.039805,-0.764259,,
0.039844,-1.527571,,
0.039883,0.469992,,
0.039922,-0.091822,,
0.039961,-0.239372,,
0.04,0.618183,,
0.040039,0.500397,,
0.040078,0.176398,,
0.040117,-0.09756,,
0.040156,-0.057276,,
0.040195,0.316439,,
0.040234,-1.011137,,
0.040273,0.063944,,
0.040312,1.605859,,
0.040352,0.187099,,
0.040391,-0.657827,,
0.04043,1.239877,,
0.040469,0.615348,,
0.040508,-0.336645,,
0.040547,0.402792,,
0.040586,-1.584294,,
0.040625,0.34061,,
0.040664,0.86098,,
0.040703,-0.872734,,
0.040742,-0.823751,,
0.040781,-0.081502,,
